# Protein abundances computed from file '/tmp/knime_labelfree_MSGFp30355/fs-Conse_0-134-30361/000/000/ConsensusMapNormalizer_0/20190103_A1_0.consensusXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'UNKNOWN', 2: 'UNKNOWN', 3: 'UNKNOWN', 4: 'UNKNOWN', 5: 'UNKNOWN', 6: 'UNKNOWN', 7: 'UNKNOWN', 8: 'UNKNOWN', 9: 'UNKNOWN', 10: 'UNKNOWN'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"sll0002"	1	0	11	62369998.8984375	66369121	104015494	60997029.9003906	127989300	85686840	127897588.400391	120177295.898438	151735200	109660245
"sll0005"	1	0	4	45033740	33341865	48913980	67081720	61087120	46428010	69274220	49626900	64225570	39490810
"sll0006"	1	0	11	360535710	436815190	382693554	397175400	340615564	398736154	430921382	326651500	337797960	383797170
"sll0007"	1	0	2	30181100	31083200	40598500	26454480	73280900	21716510	16943850	25323300	68828600	49721360
"sll0008"	1	0	1	521164	1335610	1578610	1177450	5824810	4883480	606891	254111	1701840	462875
"sll0016"	1	0	8	90325680	82435460	100168700	74543020	92025530	85386650	109250710	91332960	90161760	97154230
"sll0017"	1	0	14	1347330932	1593431280	1410693425	1265557434	1795148585	1461721020	1560393511	1306142155	1222641241	1357628896
"sll0018"	1	0	13	767507081	882833179	310742759	1124608646	2648518501	731899878	1263358397	763180557	1276731854.40137	494006244.203125
"sll0019"	1	0	14	706194142	661761363	1046774018	769485050	927489263	821624116	773922434	696781361	976495404	968409466
"sll0020"	1	0	26	2321175898	2353781133	3404849208	2649560567.59961	2546457989	2425110938	2269441464.5	1762115872	2300032864.89844	2706972846.5
"sll0021"	1	0	3	2320350	29353487.8007812	19072020	10844830	9427560	15194190	25214381.6015625	13555900	39347200	11339270
"sll0022"	1	0	1	26421600	6009700	14469900	16532200	23549500	0	4667730	5030850	9167730	663851
"sll0023"	1	0	6	60605360	123985500	119941810	71491020	90739080	88956990	93090290	157460416	123787839	84125090
"sll0024"	1	0	1	5504660	547218	0	9185350	10603200	8563370	1335860	10012100	0	604541
"sll0033"	1	0	5	163685990	114001049	139553050	99848130	85949530	93351990	64798640	118576670	83025689	165199946
"sll0034"	1	0	1	24711900	14099300	15862500	10550400	62164500	18083600	38524600	8999400	37205800	16338000
"sll0036"	1	0	5	106881700	143767780	152470660	133800300	134605120	128465600	155821900	119838000	122914200	126729500
"sll0038"	1	0	7	132961906	93348080	162097630	156896660	129851890	133818120	105421500	112607530	189637290	144523630
"sll0039"	1	0	6	342561028	245430548	355621782	312218400	278693210	348337808	470962500	255013220	125029126	218583680
"sll0040"	1	0	1	604310	328464	155346	246680	483553	372578	766500	841665	248734	162543
"sll0041"	1	0	15	580388476.199219	634086118	853456986	625431860	628459447	681285236	706072748	607467010	783033648	716532728.601562
"sll0042"	1	0	3	64075600	62932520	74657466	85617300	58608820	55187790	147929050	115873800	53188400	72280970
"sll0043"	1	0	8	111034060	117843670	130120970	135175220	259082712	294439152	120280370	218743746	118349150	73345790
"sll0044"	1	0	3	12051510	7563713.91992188	17248360	18269924	8039570	6596060	46245510	28538650	12842810	25009280
"sll0045"	1	0	1	3043760	3315920	5758590	243919	5460610	0	4104320	759409	4028900	1921100
"sll0048"	1	0	2	36794570	47925400	43887230	44341500	32082110	45712600	26297330	44607200	17023100	39272500
"sll0051"	1	0	5	384989012	531008831.199219	267468415.300781	474854524.203125	311279933.800781	873167158	527398733.801758	732276202.398438	499391406.700195	1043742808.70312
"sll0053"	1	0	7	252546836	266158606	411077116	357864166	314010824	347929212	535803712	334869904	336198100	403571840
"sll0055"	1	0	2	47199400	20077860	13178090	24744920	4032111	3654330	3218151	7254770	1556050	3772550
"sll0057"	1	0	7	788785179.898438	1083308027.10156	1236849972.10156	585823813.398438	742200867	672454425.5	602610152.300781	796874550	1229022310	954136292
"sll0058"	1	0	13	498572483	552432904	745450904	497334858	623062084	614108242	474311576	402850596	593129474	573556210
"sll0064"	1	0	7	153619059	249163261	245904693	269225220	223867426	238796892	476001480	291599436	250453570	419671366
"sll0065"	1	0	4	279053393.796875	270023022	378709710	310594018	356442350	404887039	231764486	210288264	497464380	279453218
"sll0066"	1	0	3	36654060	24647770	34485110	32350350	22629390	33500520	27984970	25806680	23222490	22693450
"sll0067"	1	0	1	22836800	31797700	41918500	28406900	32201300	25526800	7603920	27609700	47117900	19586800
"sll0068"	1	0	7	60872180	60998740	65437660	37726110	75733360	54925290	51016470	54845830	55068170	65577950
"sll0069"	1	0	6	99723475.6015625	72878000	89637760	86886418.3007812	118180330	98062790	68138200	82178600	76593660	84966220
"sll0070"	1	0	2	9186710	13779400	9949760	36855580	26205400	38631800	8573670	16269790	26979100	29505200
"sll0071"	1	0	3	38760670	29064720	25499550	38174360	49886460	37178940	31019117	28130240	37123480	67220710
"sll0072"	1	0	2	10999013	11081500	43017800	16152210	12100270	10240160	38727600	36639300	30707300	44516470
"sll0078"	1	0	12	402545934	402842160	483634719.199219	381068653	426609074	499009523	345316706	409141600	350597990	508873815
"sll0080"	1	0	11	1022595416	1059162854	1088363945	1106987730	948022080	852632374	830726040	1105454216	853109103	1172260302
"sll0083"	1	0	4	40384670	17749000	22973729	28040780	16400544	24733777	24466934	40523360	21308109	42454700
"sll0085"	1	0	3	8935290	23745430	20562400	9656430	12120900	12587820	37276576	10604697	12649520	19855960
"sll0086"	1	0	7	151497205	192885189	155978927	161455090	139244572	178190730	135271000	122252740	153122850	164058110
"sll0088"	1	0	2	4659620	3486920	12947288	2941852	6723754	3498406	10441527	451534	7667150	1217340
"sll0096"	1	0	4	28842300	34808960	40132540	20173540	28809070	59386890	44791340	41024020	37108890	48819810
"sll0098"	1	0	2	6906390	6324910	12523900	7695460	2241337	8485150	9555930	21010430	16472520	9314520
"sll0100"	1	0	2	21172630	16883370	34727020	32872900	41169420	22480460	18486960	26288610	30346920	28230900
"sll0102"	1	0	4	61219370	36586910	52328599	52924710	67234693	86667700	45541400	48114750	63786300	37234760
"sll0103"	1	0	3	156112600	96269620	348025880	66641830	164865400	57228560	146750000	119433500	107949480	92912660
"sll0108"	1	0	1	297755008	365529984	284587008	411215008	496948992	291919008	366040992	380039008	343956992	281937984
"sll0109"	1	0	1	16031200	20856200	29907200	15715000	21564800	25251800	66545500	20007900	29389600	30871800
"sll0135"	1	0	1	3722590	4401460	9548980	43467600	1672980	7579440	250978	589252	764754	50128800
"sll0136"	1	0	5	90154310	131270390	144127496	149003800	150599978	104035384	181809440	116350570	91736020	164500400
"sll0141"	1	0	3	11636115	9982190	22298132	20110072	27521610	29945337	20680970	22160720	14310238	14189893
"sll0142"	1	0	4	6203370	32069182	15134550	12821469	18032540	21024510	16299500	22180530	14708381	6647873
"sll0144"	1	0	8	651046475	638967596.199219	700428240	869394561.300781	644749053.800781	770111685.398438	840896716.5	903919272	918887477.703125	679866991.796875
"sll0145"	1	0	6	1453677532	1434044272	1740492939	1224101412	1537743924	1274675104	769104716	1051927399.29688	1374250560	1074230222
"sll0147"	1	0	5	28723510	31364270	74918715.8984375	56851900	43716140	85069015	90455390	103178760	68891110	58904600
"sll0148"	1	0	6	113063956	85062795	127235100	122698744	101520558	124562546	97294180	85965420	149191093	76126800
"sll0149"	1	0	4	74564850	52563500	111941090	62238200	82868060	74109580	75686880	52446890	66622730	65597540
"sll0154"	1	0	2	13488230	10352400	23564800	16536320	28838590	13258430	23020380	17776990	18145340	8474800
"sll0157"	1	0	2	15485920	14344910	15234800	18321050	16599930	17943830	5249450	8401180	11642920	4027420
"sll0158"	1	0	11	915114368	1069416895.5	1188779107.59961	1004730750	1070980866	1125918309	1167447622	926667396	1027980495	1084835045
"sll0162"	1	0	4	71856870	61267450	121023500	83735000	109707840	83548430	33855800	51545810	74251740	116878950
"sll0163"	1	0	9	160375208	113991324	145088752	111347790	152199360	263414290	230746350	143385360	219013796	183182150
"sll0166"	1	0	1	7439710	10306700	9870160	5218880	17988800	9485350	5608590	2184460	6084990	5824670
"sll0167"	1	0	1	32681100	21580500	29519400	21821700	26285400	25207900	24193600	28255200	15369500	13902800
"sll0169"	1	0	8	79212630	89728280	111315950	105162330	125171590	63203526	94095616	52534965	121010140	95483040
"sll0170"	1	0	26	4412698040.10156	3938706815.70312	4781587336.39844	4633989870.5	4971010270.19922	4176670143.5	4618279798.89648	3971469892.69922	4409518460.5	4350043625.29785
"sll0171"	1	0	5	139326530	160068900	160813004	159466200	139785800	167260796	244709004	148067950	183674510	303184100
"sll0172"	1	0	5	295842189	478494756	455879793.296875	337796694	434247934	442332972	492468904.199219	416087418	551728539.800781	314782329
"sll0173"	1	0	8	625610556	582025084	645104318	570763368	708045264	724421506	568756285	621931153	735858072	615461350
"sll0175"	1	0	1	20032400	10482700	33970600	16874300	17621800	22789900	30046500	13358700	10936400	25968800
"sll0176"	1	0	1	9200110	15793100	22584500	16679000	22840900	19884500	14856600	22751700	24304900	21980000
"sll0178"	1	0	1	0	0	348026	0	0	0	0	0	0	0
"sll0179"	1	0	9	248546669	258424256	236996349	235680467	213220290	263122883	262616914	288689208	363726318	289913885.900391
"sll0180"	1	0	14	885336823	601742387	778900065	1102900741.39844	762561421	747419721	1295868420.29688	698996515	999590425	695262126
"sll0182"	1	0	2	12873536	7981680	24664830	17448220	12518410	18549300	30438530	34764470	20776630	33612550
"sll0184"	1	0	2	7043130	2711400	6526240	12069810	8037173	7626560	39990210	7458410	9080850	16562760
"sll0185"	1	0	9	1325505990.29688	699913982	594368535.800781	710035191	522197016	648450472.203125	616759770	485897100	658473834	580613540
"sll0188"	1	0	3	72689100	67214100	83980900	71490500	66651900	75199600	69459800	61210130	77324800	40368580
"sll0195"	1	0	1	17960430	22929990	19303500	14934840	8540880	16786650	21996520	55804400	11596830	27929400
"sll0199"	1	0	2	4016358304	3919001052	771528588	2808286384	3622413914	3872916880	3612406388	3807068092	3877691192	4073517068
"sll0202"	1	0	4	56123416	40292931.5	42044584.3984375	26031418	23342437	33450256.6015625	22147538	16559657	51837500	33455921
"sll0204"	1	0	2	14205650	9993080	28607300	16386120	25637200	14898280	16696080	7468910	11687580	10732730
"sll0207"	1	0	5	67412030	87419100	93913690	65003900	84198600	129882600	93319810	74051300	86381700	68709150
"sll0208"	1	0	3	103363816	71581604	176960094	110479806	242918506	225955358	151326670	61647000	194801852	96358050
"sll0209"	1	0	9	177305900	94486341.8007812	171280090	165486675.800781	142418880	144680370	144559256	102688449.5	131795910	98829152
"sll0216"	1	0	5	63351161	67200637	56520538	102031303	45364521	60637651	59849620	57672570	72503530	64248943
"sll0220"	1	0	13	541725690	508258890	528323803	547210398	507702150	612888392	558542831	462424083	500706941	413851600
"sll0221"	1	0	1	26671600	32574200	20486500	27592200	33249700	15705300	21407700	20700900	42909200	14353600
"sll0224"	1	0	7	456440866	525441474	396504922	269802080	546594622	413728674	382251880	412651522	486308260	491674982
"sll0226"	1	0	3	109251561	117192656	146297070	70447490	121850250	116467686	182611190	160344920	147423034	105664690
"sll0227"	1	0	5	315822640	363148680	171902890	292572930	186134640	285688840	179242270	269307572	321599926	240195450
"sll0228"	1	0	4	124497275	149290874	113701030	136741336	80149100	188175970	78994990	192989575	64738310	136983712
"sll0230"	1	0	2	28532700	50055421	41067316	44582841	39027737	22522100	24719702.703125	12393602	22772119	12679968.6015625
"sll0236"	1	0	5	87483130	1498054058	84898680	59694370	103627900	126471780	1043206068	1101782984	1365216624	719703562
"sll0237"	1	0	1	6730000	2812560	20780200	7763430	17071600	10178400	7385230	4858780	10798400	9103720
"sll0242"	1	0	3	8237540	5671470	6162940	7017310	3350166	4947960	3325950	4305300	6122890	4196300
"sll0244"	1	0	2	59985400	52364800	41298030	50159000	63565500	52344200	28863990	74622700	40696810	47687200
"sll0245"	1	0	15	598008221	603016217	573010309	562760143	694106439	526241477	945296828	582499558	463887862	440804470
"sll0248"	1	0	1	4625410	5215220	12268500	17756700	5733310	3490920	11596200	3120060	2664060	8745770
"sll0250"	1	0	1	91965.296875	1315840	169927	0	43580100	0	1813560	0	1384430	192787
"sll0254"	1	0	6	71287739	45217950	107909234	87253180	122827720	50184490	108459170	28497600	22811263	75983110
"sll0257"	1	0	1	39259000	46894800	21818900	12227500	13312300	10732600	38883900	28402300	18700700	61815100
"sll0258"	1	0	5	4836041493	4154741080	5573408793	3594621669	6570554659	5532855932	6450790256	4239646680	7979849100	4703621556
"sll0260"	1	0	4	44892080	41252030	53868750	61547150	48730720	58057350	86499040	27941580	47778580	64330810
"sll0267"	1	0	2	147464550	73485194	38156180	8073240	12436330	2112480	6685160	7893310	6421540	8063010
"sll0268"	1	0	1	2719879	2041770	6179290	10092300	2995710	7125528	15829950	16209410	9283490	14153700
"sll0270"	1	0	1	394740	117374	421992	258710	0	63502.1015625	314606	0	23714.80078125	19348.900390625
"sll0271"	1	0	6	139804580	174616920	264638890	181973930	148917170	242513170	248298660	138225350	128630124	122047720
"sll0272"	1	0	3	78580294	272082950	110077980	164022300	125580190	148431480	230005108	154825996	142629954	130426860
"sll0273"	1	0	1	17746700	19874600	31412300	20338100	11251700	12336100	16102700	4636890	7025140	8081160
"sll0274"	1	0	3	29950170	40666860	29894556	35241770	21833670	68787930	26969520	57669570	25163042.6992188	32884986
"sll0283"	1	0	2	31930100	20949320	19765810	19849360	27458800	17256910	8644600	14751880	22468990	19499750
"sll0284"	1	0	1	8413200	5046990	5542060	10456100	12697500	13559300	4865760	13415400	11740900	3978000
"sll0288"	1	0	2	18210140	11362530	32618400	19047570	21112050	17337130	20426700	13737390	37693010	25000030
"sll0289"	1	0	7	241537258	300063390	366993812	284920787	384763104	248450450	313778710	300770720	317442980	283209424
"sll0290"	1	0	6	57357271	55410673	64988810	64033080	61582490	66872586	45831368	49608310	112696900	86777150
"sll0293"	1	0	1	43776700	48391500	41572900	25535600	44521900	32829100	52949600	65624200	94710400	85759104
"sll0295"	1	0	1	3258820	430488	2001670	1314720	3783380	2183700	1036710	2728220	3142830	884054
"sll0301"	1	0	3	20550000	17430685	19086663.3007812	12770312	16975771	16063307	23247308	22634183	79701754.1015625	14526309
"sll0306"	1	0	3	51703900	50495100	66710200	28933990	46612510	33731670	22655682	19452810	40559260	17821020
"sll0312"	1	0	1	1709140	3674490	451531	2374180	478493	880731	444383	4672080	0	1676280
"sll0314"	1	0	7	523069300	340733162	518724200	433978052	629161292	533794496	478035692	423410778	484073600	420011296
"sll0318"	1	0	3	32225570	43606700	77901920	66765360	163770116	59130400	102596100	41708670	51741400	54678290
"sll0319"	1	0	4	180648896	251425368	155152760	230170859	272466930	228532532	320865446	183402963	166909640	273200963
"sll0320"	1	0	5	189894453	336588336	308248172	318290822	300007429	407542569	432446250	320183802	581868160	545463116
"sll0321"	1	0	3	8984672.5	12998000	18967929	11673053	12860268	9817650	7663119	9305700	25083282	16858670
"sll0325"	1	0	3	61080090	41518470	49524020	29918570	28375600	31086390	47113550	38863670	42177630	53525300
"sll0329"	1	0	10	2869720957	3671796380	4072727016	3042242306	3135078361	2428393564	2365080546	2572027298	2687180984	3188608332
"sll0335"	1	0	11	137513589	139761320	158494812	158979768	185704494	156541685.699219	223610773	140069796.398438	189568859	117482842
"sll0336"	1	0	6	86417880	81765600	79426900	82721077.3984375	106417550	83303410	100212350	88800142	118788490	88488040
"sll0359"	1	0	4	2789638030	3456116218	3891180830	321583374	2456782578	3395740574	1805125010.89844	4407023601	3596063661.10156	179094836
"sll0360"	1	0	1	0	0	85362	0	5591090	793478	19569300	3265240	1552280	1656200
"sll0362"	1	0	9	283467720	307708280	378068910	475474850	386317676	377617780	352748126	300808760	260703020	242970170
"sll0368"	1	0	4	56109830	69726670	31730163	61299170	45547440	44114620	44915510	95582770	92865790	52689940
"sll0370"	1	0	29	1994577682	1949803135.5	2113686947	1699602336	1777229905	1683315450	1379532688	1569967301	1763968867	1816695194.27002
"sll0371"	1	0	1	11671300	25187700	36267600	25735300	42946900	30961400	16138000	18528700	29605800	22696400
"sll0373"	1	0	8	203355270	188534149	156731880	159954250	143845990	141162100	162427180	183757360	310515674	282616320
"sll0374"	1	0	6	171530370	143523636	171738920	195374970	232004350	255646786	198787702	236738280	484639248	353157360
"sll0377"	1	0	5	76098038	82083470	58361000	82532200	44733510	48818470	68653940	110000350	48002820	63196030
"sll0378"	1	0	1	5475680	16772800	11668300	7348350	9389480	7977040	7907160	11267500	8465580	6580790
