# Protein abundances computed from file '/media/storage/timothy/tmp/knime_labelfree_MSGFp27083/fs-Conse_0-134-27089/000/000/ConsensusMapNormalizer_0/20190125_FA_005_R1_0.consensusXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'UNKNOWN', 2: 'UNKNOWN', 3: 'UNKNOWN', 4: 'UNKNOWN', 5: 'UNKNOWN', 6: 'UNKNOWN', 7: 'UNKNOWN', 8: 'UNKNOWN', 9: 'UNKNOWN', 10: 'UNKNOWN', 11: 'UNKNOWN', 12: 'UNKNOWN', 13: 'UNKNOWN', 14: 'UNKNOWN', 15: 'UNKNOWN', 16: 'UNKNOWN', 17: 'UNKNOWN', 18: 'UNKNOWN', 19: 'UNKNOWN', 20: 'UNKNOWN'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"	"abundance_11"	"abundance_12"	"abundance_13"	"abundance_14"	"abundance_15"	"abundance_16"	"abundance_17"	"abundance_18"	"abundance_19"	"abundance_20"
"CONT_sp|ADH1_YEAST|"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	425945984	0	0	0	0	0	0	315928000	153726000
"CONT_sp|BGAL_ECOLI|"	1	0	1	0	0	0	3687660	0	0	0	0	0	0	0	0	0	0	0	3143100	0	0	0	0
"CONT_sp|CAH2_HUMAN|"	1	0	1	0	0	0	0	0	0	0	0	364899	0	0	0	0	0	0	0	0	204842	0	0
"CONT_sp|CATA_HUMAN|"	1	0	1	0	0	0	0	0	0	0	8663450	95413296	0	0	0	0	0	0	0	0	0	0	0
"CONT_sp|CO5_HUMAN|"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	48796000	0	0	0	0	0	0	0
"CONT_sp|DHE3_BOVIN|"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4570140	0	0	0
"CONT_sp|EGF_HUMAN|"	1	0	3	0	0	0	0	0	0	0	0	0	0	0	103355000	58152900	0	55537900	0	0	0	0	77976651.6015625
"CONT_sp|GAG_SCVLA|"	1	0	2	0	0	0	60054000	43241300	0	0	42368200	0	28318601	0	0	0	0	0	0	0	0	0	0
"CONT_sp|GELS_HUMAN|"	1	0	3	316700000	0	0	0	129563000	0	0	0	0	0	0	0	0	0	0	4543790	129330000	0	0	0
"CONT_sp|HBB_HUMAN|"	1	0	1	0	0	0	0	0	0	0	0	0	15506700	0	0	0	0	0	0	0	0	0	0
"CONT_sp|K1C10_HUMAN|"	1	0	3	0	0	0	0	0	0	0	0	76840400	0	255457904	0	0	0	0	0	8165205	0	0	0
"CONT_sp|K1C9_HUMAN|"	1	0	2	0	1109040	0	0	0	0	0	0	610958	0	2846690	0	0	0	1023250	0	19014900	0	1774230	0
