# Protein abundances computed from file '/tmp/knime_labelfree_MSGFp66336/fs-Conse_0-134-66343/000/000/ConsensusMapNormalizer_0/20190103_A1_0.consensusXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'UNKNOWN', 2: 'UNKNOWN', 3: 'UNKNOWN', 4: 'UNKNOWN', 5: 'UNKNOWN', 6: 'UNKNOWN', 7: 'UNKNOWN', 8: 'UNKNOWN', 9: 'UNKNOWN', 10: 'UNKNOWN'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"sll0002"	1	0	8	10911900	0	18353180	27853510	14192110	13813900	12612056.8007812	4335640	41335500	0
"sll0005"	1	0	4	0	35263630	50565200	59834900	6978050	44395700	70950100	55946670	37159000	39147300
"sll0006"	1	0	10	234730400	376724400	315453500	384891220	259114720	323093504	290083296	190052500	301516300	346379590
"sll0007"	1	0	2	37367400	0	18125200	0	54074500	0	0	38452600	64492800	0
"sll0016"	1	0	6	24773300	25652670	67495760	29664800	49448900	70371390	51175060	63595410	72950700	46693500
"sll0017"	1	0	13	1140971884	1336995462	1173054208	1312000302	1426380508	1328777238	1505640092	1209289592	1079416400	1183937974
"sll0018"	1	0	9	113696440	286618712	96810846	134912444	369239408	132199496	490266184	250378496	242488300	304481108
"sll0019"	1	0	13	554155590	619364908	889544394	662566692	693619136	596031804	609400184	675559056	869989712	850075592
"sll0020"	1	0	21	1919015398	2090518222	2398159068	2494802264	1591361938	2148579072	1913594804	1701424949	1547229154	2575649400
"sll0021"	1	0	3	0	26830800	19412640	2799430	8898760	2913600	0	0	14131300	0
"sll0022"	1	0	1	22958200	10259500	0	0	0	0	0	0	5014790	9476560
"sll0023"	1	0	5	32334900	116637700	72694800	60780360	52197900	76529810	76552100	161759200	34105900	24256000
"sll0027"	1	0	1	0	871144	0	0	0	0	0	0	0	0
"sll0033"	1	0	2	116032180	0	29100900	72138300	29573700	25380000	0	6520190	30350700	0
"sll0034"	1	0	1	0	15881700	17927900	0	60249400	19973800	41860600	11111900	40558200	17712800
"sll0036"	1	0	4	72359900	131712000	119780500	102854800	111336000	92007300	134276100	90811000	88999300	70936500
"sll0038"	1	0	6	50848100	43389860	91688200	60642300	72538470	17198600	50379600	20945800	105578896	56143200
"sll0039"	1	0	4	177558900	85673030	186352590	237455304	137228894	210032300	380453408	170957200	13416200	97970790
"sll0040"	1	0	1	0	0	0	532330	229479	0	0	0	0	0
"sll0041"	1	0	11	246037700	230272523	546430210	427870550	248958008	351848600	346737836	439180708	446991358	484149500
"sll0042"	1	0	2	39621100	20409000	0	44166400	14945800	33690570	140056200	89028200	0	44907200
"sll0043"	1	0	5	16153100	17031000	0	77608970	30455630	0	68147520	37301000	12038700	0
"sll0044"	1	0	2	3368100	7907620	17919380	22030020	4868350	6745120	52387600	22280530	11838170	6993470
"sll0045"	1	0	1	0	0	6664380	0	0	0	0	0	3729230	1485020
"sll0048"	1	0	2	34757800	53668300	41917500	54284000	0	50734900	7922360	27156700	8683960	25514000
"sll0051"	1	0	4	213814864	194862256	196110300	406351054	129146400	742425092	534648504	548672739	512450100	980668592
"sll0053"	1	0	6	141659204	249535310	273776800	210022320	202585714	280797952	529044904	339794000	249603004	352732296
"sll0055"	1	0	1	0	0	0	0	0	3286680	0	0	0	0
"sll0057"	1	0	6	615253896	750339600	768106120	524176730	546216978	500935950	458061184	610418678	925876008	910976057
"sll0058"	1	0	10	373650900	420138504	487099404	446993181	332954100	486708612	316602108	399706706	371943900	380210104
"sll0064"	1	0	7	132622496	236017222	110808300	178046200	205406630	134305200	375872108	287267554	179411480	423435716
"sll0065"	1	0	4	255915508	247832900	359403072	332291292	309721308	369485900	230028062	225838700	547926990	294288708
"sll0066"	1	0	3	33981050	9708870	38607700	25152800	9414480	15929900	11526100	31476200	6366850	15376280
"sll0068"	1	0	4	0	4361150	30774250	4443550	29583100	15724640	22549370	0	11183000	13823500
"sll0069"	1	0	5	0	5641500	28202200	44857800	9577170	21545400	10990500	0	4003150	0
"sll0070"	1	0	1	0	0	0	0	0	0	0	3924360	0	0
"sll0071"	1	0	3	0	16509700	11007200	13364600	21332690	16054300	0	11041600	39378720	0
"sll0072"	1	0	2	0	0	0	8347240	0	0	27388900	14575200	0	41820100
"sll0078"	1	0	12	234020260	251236700	343623400	217138068	271693200	384517200	266668260	272985522	278932308	382977823
"sll0080"	1	0	9	702355296	829166544	877121459	1086831626	621424912	700052032	750164414	1010864677	741340165	1208477304
"sll0083"	1	0	3	34482800	19013900	24710800	23850700	16012800	21574852	13801655	46000200	19552800	44889700
"sll0085"	1	0	1	0	8462380	0	0	0	0	0	0	0	0
"sll0086"	1	0	7	158665040	127905400	125704000	151148720	115427900	186234700	98596390	114099270	98095100	131089030
"sll0094"	1	0	1	0	0	0	6859520	0	0	0	0	0	0
"sll0096"	1	0	5	12711500	0	26416030	10347890	15358000	39190000	15040500	22704000	16591910	0
"sll0098"	1	0	2	0	0	0	0	0	3140460	0	13126000	0	5690270
"sll0100"	1	0	2	0	0	36120700	0	0	2995430	0	0	0	0
"sll0102"	1	0	4	322584208	13417600	25142100	37848800	34444000	55736100	38753800	10187500	41065000	11007300
"sll0103"	1	0	2	128631696	0	353120992	33711300	152132100	38556540	138015600	33983800	131324000	63210200
"sll0108"	1	0	1	316977984	0	305694016	504382016	469078016	321708992	433790016	472100000	387068000	323491008
"sll0135"	1	0	1	0	0	10566400	52120500	0	0	0	0	0	0
"sll0136"	1	0	4	76235700	125920800	107881600	115709300	97972800	94863504	119332800	113940400	47135000	124362900
"sll0141"	1	0	2	8783020	9546650	24637400	23846040	23076950	32599420	22883870	27000190	11956380	14401760
