task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
3	1d/b5e80a	29691	quandenser_parallel_1 (2)	COMPLETED	0	2019-03-27 12:53:31.136	1m 19s	1m 15s	581.0%	8.8 GB	28.5 GB	419.3 MB	16.4 MB
2	0f/d5e40c	29698	quandenser_parallel_1 (1)	COMPLETED	0	2019-03-27 12:53:31.163	1m 26s	1m 25s	800.0%	8.8 GB	28.5 GB	462.1 MB	6.1 KB
5	eb/f3813e	13649	quandenser_parallel_1 (4)	COMPLETED	0	2019-03-27 12:54:57.124	1m 9s	1m 6s	471.4%	8.7 GB	28.5 GB	367.6 MB	6.4 KB
4	aa/92ad8a	12304	quandenser_parallel_1 (3)	COMPLETED	0	2019-03-27 12:54:50.540	1m 27s	1m 21s	571.2%	8.5 GB	28.5 GB	390.1 MB	6.1 KB
6	f2/f1c2b1	25851	quandenser_parallel_1 (5)	COMPLETED	0	2019-03-27 12:56:06.391	1m 10s	1m 7s	744.3%	8.6 GB	28.5 GB	389.3 MB	6.1 KB
7	72/276caf	28378	quandenser_parallel_1 (6)	COMPLETED	0	2019-03-27 12:56:17.897	1m 10s	1m 8s	615.0%	7.9 GB	28.5 GB	391.7 MB	6.1 KB
9	12/41baba	9652	quandenser_parallel_1 (8)	COMPLETED	0	2019-03-27 12:57:27.468	1m 19s	1m 15s	701.8%	8.8 GB	28.5 GB	364.1 MB	10.9 MB
8	eb/791ffe	7139	quandenser_parallel_1 (7)	COMPLETED	0	2019-03-27 12:57:16.896	1m 36s	1m 33s	510.7%	9.1 GB	28.5 GB	507.6 MB	3 MB
10	38/da062a	23714	quandenser_parallel_1 (9)	COMPLETED	0	2019-03-27 12:58:46.539	1m 15s	1m 14s	382.9%	8.7 GB	28.5 GB	375.5 MB	6.4 KB
11	fd/2d4b9b	24910	quandenser_parallel_1 (10)	COMPLETED	0	2019-03-27 12:58:52.645	1m 11s	1m 9s	460.5%	8.7 GB	28.5 GB	393.3 MB	6.1 KB
12	db/de7cc6	5216	quandenser_parallel_1 (11)	COMPLETED	0	2019-03-27 13:00:01.919	1m 20s	1m 20s	393.1%	8.8 GB	28.5 GB	411.4 MB	6.1 KB
